code_national_tri,libelle_tri,liste_libelle_risque,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune
2BDREAL20150002,TRI Marana,"[{'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,04/05/2015,,,2B037,BIGUGLIA
2BDREAL20150002,TRI Marana,"[{'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,04/05/2015,,,2B042,BORGO
2BDREAL20150001,TRI Grand BASTIA,"[{'num_risque': '130', 'libelle_risque_long': 'Par ruissellement et coulée de boue'}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,04/05/2015,,,2B120,FURIANI
2BDREAL20150002,TRI Marana,"[{'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,04/05/2015,,,2B148,LUCCIANA
2BDREAL20150001,TRI Grand BASTIA,"[{'num_risque': '130', 'libelle_risque_long': 'Par ruissellement et coulée de boue'}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,04/05/2015,,,2B353,VILLE-DI-PIETRABUGNO
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30003,AIGUES-MORTES
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30004,AIGUES-VIVES
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30006,AIMARGUES
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30011,LES ANGLES
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30012,ARAMON
